agency_ref,name,address1,address2,city,state,county_name,zip,phone,email,tefap,latitude,longitude,Date_of_Last_SO,TEFAP_Auto_Eligible,TEFAP_Income_Levels,ObjectId,Day of week,Hours,ByAppointmentOnly,ResidentsOnly,Notes,Reqs,start1,start2,start3,end1,end2,end3,Frequency,Additional_Notes,Start_Time,End_Time
14030-PART-01,So Others Might Eat,71 O ST NW,,Washington,DC,DC Ward 5,20002,(202) 235-1472,dking@some.org,TEFAP Available,38.90825,-77.011103,2025-03-07,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,2,Monday,9:00 AM to 11:00 AM; Every week,No,No,, ,9:00:00,12:00:00,,11:00:00,14:00:00,,Every week,,09:00:00,11:00:00
14050-PART-02,Bread For The City NW Center,1525 7th St. NW,,Washington,DC,DC Ward 2,20001,(202) 985-2788,tcollins@breadforthecity.org,TEFAP Available,38.910337,-77.021597,2025-04-21,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,74,Monday,9:00 AM to 3:00 PM; Every week (Note: DC Residents Only),No,No, (Note: DC Residents Only), ,9:00:00,,,15:00:00,,,Every week,Note: DC Residents Only,09:00:00,15:00:00
19062-PART-01,Saint Benedict The Moor,320 21st Street NE,,Washington,DC,DC Ward 7,20002,(240) 210-6484,ducksherlene@gmail.com,TEFAP Available,38.894234,-76.97546,2025-04-10,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,77,Monday,9:30 AM to 12:00 PM; 3rd of the Month,No,No,None, ,9:30:00,,,12:00:00,,,3rd of the Month,,09:30:00,12:00:00
19658-PART-01,Nourish Now,397 EAST GUDE DR,,Rockville,MD,MD Montgomery County,20850,(240) 330-8098,brett@nourishnow.org,Non-TEFAP,39.092923,-77.135585,2025-04-04,N/A,N/A,82,Monday,12:30 PM to 2:30 PM; Every week,No,No,None, ,12:30:00,,,14:30:00,,,Every week,,12:30:00,14:30:00
19844-PART-01,Lifehouse Church,12304 Baltimore Avenue,,Beltsville,MD,MD Prince George's County,20705,(240) 419-8613,bournehiza@gmail.com,TEFAP Available,39.059614,-76.888974,2025-04-14,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,94,Monday,12:00 PM to 4:00 PM; 4th of the Month,No,No,, ,12:00:00,,,16:00:00,,,4th of the Month,,12:00:00,16:00:00
19844-PART-01,Lifehouse Church,12304 Baltimore Avenue,,Beltsville,MD,MD Prince George's County,20705,(240) 419-8613,bournehiza@gmail.com,TEFAP Available,39.059614,-76.888974,2025-04-14,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,94,Monday,12:00 PM to 4:00 PM; 2nd of the Month,,,, ,12:00:00,,,16:00:00,,,2nd of the Month,,12:00:00,16:00:00
19508-PART-01,Educare Support Services,7517 New Hampshire Ave,,Takoma Park,MD,MD Montgomery County,20912,(240) 450-2092,info@educaremd.org,Non-TEFAP,38.976588,-76.991605,2025-04-04,N/A,N/A,95,Monday,As Needed to As Needed; Every week,Yes,No,None, ,,,,,,,Every week,,,
18910-MOMK-02,Prince George's Dept of Social Services Shabach,403 Brightseat road,,Landover,MD,MD Prince George's County,20785,(240) 532-7003,mawilliams@fbcglenarden.org,Non-TEFAP,38.894896,-76.850083,2025-03-10,N/A,N/A,102,Monday,9:30 AM to 11:30 AM; ,No,No,None, ,9:30:00,,,11:30:00,,,,,09:30:00,11:30:00
19048-PART-01,Shabach Emergency Empowerment Center,403 Brightseat Rd,,Landover,MD,MD Prince George's County,20785,(240) 532-7003,gpope@fbcglenarden.org,TEFAP Available,38.894896,-76.850083,2025-04-15,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,103,Monday,9:00 AM to 3:00 PM; Every week,Yes,No,None, ,9:00:00,,,15:00:00,,,Every week,,09:00:00,15:00:00
15395-PART-01,Adventist Community Services of Greater Washington,501 Sligo Avenue,,Silver Springs,MD,MD Montgomery County,20910,(240) 723-5650,tjseamens@aol.com,TEFAP Available,38.991768,-77.011874,2025-04-15,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,117,Monday,10:00 AM to 12:00 PM; Every week,Yes,No,None, ,10:00:00,,,12:00:00,,,Every week,,10:00:00,12:00:00
19862-PART-01,The Upcounty Hub Inc,12900 Middlebrook Road Suite 1100,,Germantown,MD,MD Montgomery County,20874,(240) 912-1077,moven@upcountyhub.org,Non-TEFAP,39.179015,-77.269107,2025-04-11,N/A,N/A,121,Monday,9:00 AM to 4:00 PM; 2nd of the Month,Yes,No,None, ,9:00:00,,,16:00:00,,,2nd of the Month,,09:00:00,16:00:00
22531-PART-01,Gaithersburg HELP,301 Muddy Branch Road,,Gaithersburg,MD,MD Montgomery County,20878,(301) 216-2510,dirfood@gaithersburghelp.org,Non-TEFAP,39.127214,-77.208396,2025-03-17,N/A,N/A,123,Monday,5:00 PM to 6:30 PM; Every week (Note: We require identification and proof of residence. We serve any resident in our service area. A service area map is available on our website at www.gaithersburghelp.org.),Yes,No, (Note: We require identification and proof of residence. We serve any resident in our service area. A service area map is available on our website at www.gaithersburghelp.org.), ,17:00:00,,,18:30:00,,,Every week,Note: We require identification and proof of residence. We serve any resident in our service area. A service area map is available on our website at www.gaithersburghelp.org.,17:00:00,18:30:00
21860-PART-01,"So What Else, Inc",4924 wyaconda road,,Rockville,MD,MD Montgomery County,20852,(301) 252-1501,abonney@sowhatelse.org,Non-TEFAP,39.153782,-77.204246,2025-04-03,N/A,N/A,128,Monday,8:00 AM to 4:00 PM; Every week,Yes,No,None, ,8:00:00,,,16:00:00,,,Every week,,08:00:00,16:00:00
16090-PART-01,Walker Mill Community Development Center,6801 Walker Mill Rd,,Capitol Heights,MD,MD Prince George's County,20743,(301) 257-3771,ezone_govan@nps.gov,TEFAP Available,38.868468,-76.890436,2025-03-28,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,129,Monday,10:00 AM to 12:30 PM; Every week (Note: Please enter side door and bring own bags),No,No, (Note: Please enter side door and bring own bags), ,10:00:00,,,12:30:00,,,Every week,Note: Please enter side door and bring own bags,10:00:00,12:30:00
19556-PART-01,Salvation Army  (PW County),1483 Old Bridge Road,#102,Woodbridge,VA,VA Prince William County,22192,(678) 832-5822,aiesha.tolbert@uss.salvationarmy.org,Non-TEFAP,38.672158,-77.261695,2025-04-02,N/A,N/A,136,Monday,10:00 AM to 12:00 PM; As Needed (Note: Able to receive food every 30 days),No,Yes, (Note: Able to receive food every 30 days), ,10:00:00,,,12:00:00,,,As Needed,Note: Able to receive food every 30 days,10:00:00,12:00:00
19748-PART-01,Church of the Resurrection,5150 Fillmore Ave,,Alexandria,VA,VA City of Alexandria,22311,(703) 256-3889,priest@welcometoresurrection.org,Non-TEFAP,38.838707,-77.117711,2025-04-15,N/A,N/A,142,Monday,5:00 PM to 6:30 PM; Every week,No,No,None, ,17:00:00,,,18:30:00,,,Every week,,17:00:00,18:30:00
19761-PART-01,Salvation Army (Fairfax),4915 Ox Road,,Fairfax,VA,VA Fairfax County,22030,(703) 385-8700,Jowens.merone@uss.salvationarmy.org,Non-TEFAP,38.822494,-77.316266,2025-03-24,N/A,N/A,152,Monday,12:00 PM to 3:00 PM; 4th of the Month,No,Yes,None, ,12:00:00,,,15:00:00,,,4th of the Month,,12:00:00,15:00:00
19645-PART-01,ADAMS CENTER,46903 Sugarland Road,,Sterling,VA,**Outside CAFB Service Area**,20164,(703) 433-1325,suheir.kafri@adamscenter.org,Non-TEFAP,39.006436,-77.379334,2025-04-10,N/A,N/A,154,Monday,10:00 AM to 5:00 PM; Every week,Yes,No,None, ,10:00:00,,,17:00:00,,,Every week,,10:00:00,17:00:00
14590-PART-01,ACTS,3901 ACTS Lane,,Dumfries,VA,VA Prince William County,22026,(703) 441-8606,scouteau@actspwc.org,TEFAP Available,38.563107,-77.329021,2025-04-09,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,156,Monday,"9:00 AM to 11:30 AM; Every week (Note: Service Area: 22025, 22026, 22125, 22134, 22135, 22172, 22191, 22192, 22193)",No,Yes," (Note: Service Area: 22025, 22026, 22125, 22134, 22135, 22172, 22191, 22192, 22193)", ,9:00:00,13:00:00,,11:30:00,15:00:00,,Every week,"Note: Service Area: 22025, 22026, 22125, 22134, 22135, 22172, 22191, 22192, 22193",09:00:00,11:30:00
14590-PART-01,ACTS,3901 ACTS Lane,,Dumfries,VA,VA Prince William County,22026,(703) 441-8606,scouteau@actspwc.org,TEFAP Available,38.563107,-77.329021,2025-04-09,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,156,Monday,"1:00 PM to 3:00 PM; Every week (Note: Service Area: 22025, 22026, 22125, 22134, 22135, 22172, 22191, 22192, 22193)",,," (Note: Service Area: 22025, 22026, 22125, 22134, 22135, 22172, 22191, 22192, 22193)", ,9:00:00,13:00:00,,11:30:00,15:00:00,,Every week,"Note: Service Area: 22025, 22026, 22125, 22134, 22135, 22172, 22191, 22192, 22193",13:00:00,15:00:00
19842-PART-01,Mother of Light Center,421 Clifford Ave,,Alexandria,VA,VA City of Alexandria,22305,(703) 508-5289,alvarado.matilde@gmail.com,TEFAP Available,38.831961,-77.051974,2025-04-15,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,162,Monday,10:00 AM to 1:00 PM; Every week,Yes,Yes,, ,10:00:00,,,13:00:00,,,Every week,,10:00:00,13:00:00
19842-PART-01,Mother of Light Center,421 Clifford Ave,,Alexandria,VA,VA City of Alexandria,22305,(703) 508-5289,alvarado.matilde@gmail.com,TEFAP Available,38.831961,-77.051974,2025-04-15,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,162,Monday,10:00 AM to 1:00 PM; Every week,No,No,, ,10:00:00,,,13:00:00,,,Every week,,10:00:00,13:00:00
22181-MOMK-01,James Lee Community Center,2855 Annandale Rd,,Falls Church,VA,VA Fairfax County,22042,(703) 534-3387,cindy.avila@fairfaxcounty.gov,Non-TEFAP,38.87418,-77.173338,2025-03-10,N/A,N/A,165,Monday,1:00 PM to 2:00 PM; 2nd of the Month,No,No,None, ,13:00:00,,,14:00:00,,,2nd of the Month,,13:00:00,14:00:00
15550-PART-01,Church of Christ of Dale City,13130 Hillendale Drive,,Dale City,VA,VA Prince William County,22193,(703) 590-1790,swoose77@verizon.net,Non-TEFAP,38.666311,-77.334984,2025-04-14,N/A,N/A,172,Monday,3:00 PM to 5:00 PM; 2nd and 4th of the Month,No,No,None, ,15:00:00,,,17:00:00,,,2nd and 4th of the Month,,15:00:00,17:00:00
19261-PART-01,St. Anthony of Padua Catholic Church,3305 Glen Carlyn Road,,Falls Church,VA,VA Fairfax County,22041,(703) 628-5564,ubaldo@stanthonyparish.org,TEFAP Available,38.856953,-77.139053,2025-04-07,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,175,Monday,10:00 AM to 1:00 PM; Every week,No,No,None, ,10:00:00,,,13:00:00,,,Every week,,10:00:00,13:00:00
19507-PART-01,Haymarket Regional Food Pantry,7669 Limestone Drive,,Gainesville,VA,VA Prince William County,20155,(703) 795-4892,efsmith11@gmail.com,Non-TEFAP,38.790517,-77.598066,2025-03-27,N/A,N/A,182,Monday,5:00 PM to 8:30 PM; Every week,Yes,No,None, ,17:00:00,,,20:30:00,,,Every week,,17:00:00,20:30:00
22633-PART-01,St. Matthews Ken Jackson Food Closet,8617 Little River Turnpike,,Annandale,VA,VA Fairfax County,22003,(703) 919-7051,candrukonis@gmail.com,Non-TEFAP,38.836894,-77.244231,2025-03-25,N/A,N/A,188,Monday,"5:00 PM to 6:30 PM; Every week (Note: Distribution at door 3, Far left from front of church)",No,No," (Note: Distribution at door 3, Far left from front of church)", ,17:00:00,,,18:30:00,,,Every week,"Note: Distribution at door 3, Far left from front of church",17:00:00,18:30:00
19488-PART-01,"Koinonia Foundation, Inc.",6037 Franconia Road,,Alexandria,VA,VA Fairfax County,22310,(703) 971-1991,judy@koinoniacares.org,Non-TEFAP,38.782088,-77.144471,2025-04-14,N/A,N/A,194,Monday,9:00 AM to 12:30 PM; Every week (Note: Must live in service area.  Call to check),No,Yes, (Note: Must live in service area.  Call to check), ,9:00:00,16:00:00,,12:30:00,19:30:00,,Every week,Note: Must live in service area.  Call to check,09:00:00,12:30:00
19488-PART-01,"Koinonia Foundation, Inc.",6037 Franconia Road,,Alexandria,VA,VA Fairfax County,22310,(703) 971-1991,judy@koinoniacares.org,Non-TEFAP,38.782088,-77.144471,2025-04-14,N/A,N/A,194,Monday,"4:00 PM to 7:30 PM; 1st, 2nd, and 4th of the Month (Note: Must live in service area. Call to check.)",,No, (Note: Must live in service area. Call to check.), ,9:00:00,16:00:00,,12:30:00,19:30:00,,"1st, 2nd, and 4th of the Month",Note: Must live in service area. Call to check.,16:00:00,19:30:00
18105-MOMK-01,Pin Oak Village Senior,16010 Excalibur Road,,Bowie,MD,MD Prince George's County,20716,(301) 464-6830,PINOAKadmin@hrehllc.com,Non-TEFAP,38.940761,-76.725219,2025-04-07,N/A,N/A,225,Monday,9:30 AM to 11:30 AM; 1st of the Month,No,No,None, ,9:30:00,,,11:30:00,,,1st of the Month,,09:30:00,11:30:00
18910-MOMK-01,Prince George's Dept of Social Services SEED,5819 Eastpine Dr,,Riverdale,MD,MD Prince George's County,20737,(301) 458-7099,tnunes@seedinc.org,Non-TEFAP,38.959287,-76.90621,2025-04-09,N/A,N/A,227,Monday,10:00 AM to 12:00 PM; 3rd of the Month,No,No,None, ,10:00:00,,,12:00:00,,,3rd of the Month,,10:00:00,12:00:00
18676-MOMK-01,University of Shady Grove,9630 Gudelsky Drive,,Rockville,MD,MD Montgomery County,20850,(301) 832-0094,szelaya3@umd.edu,Non-TEFAP,39.094556,-77.201137,2025-04-28,N/A,N/A,235,Monday,11:00 AM to 1:00 PM; 4th of the Month,No,No,None, ,11:00:00,,,13:00:00,,,4th of the Month,,11:00:00,13:00:00
22863-PART-01,St. John's Community Service Center,7611 Little River Turnpike,,Annandale,VA,VA Fairfax County,22003,(571) 283-9231,lpuryear@sjcs.org,Non-TEFAP,38.83154,-77.20901,1970-01-01,N/A,N/A,248,Monday,10:00 AM to 4:00 PM; Every week,No,No,None, ,10:00:00,,,16:00:00,,,Every week,,10:00:00,16:00:00
22877-PART-01,True Ground Housing,4318 N Carlin Springs Road,,Arlington,VA,VA Arlington County,22203,(571) 733-9627,mjackson@apah.org,Non-TEFAP,38.876971,-77.112528,1970-01-01,N/A,N/A,249,Monday,10:00 AM to 6:00 PM; Every week,No,Yes,None, ,10:00:00,,,18:00:00,,,Every week,,10:00:00,18:00:00
23013-PART-01,Fairfax Church Resource Center,11451 Braddock Road,,Fairfax,VA,VA Fairfax County,22030,(703) 745-1030,valerienolan@fairfax.cc,Non-TEFAP,38.83288,-77.33937,1970-01-01,N/A,N/A,250,Monday,11:00 AM to 3:00 PM; Every week,Yes,No,None, ,11:00:00,,,15:00:00,,,Every week,,11:00:00,15:00:00
23200-PART-01,Holy Family Catholic Church Food Pantry,14160 Ferndale Road,,Dale City,VA,VA Prince William County,22193,(703) 459-7156,mbrostek1@comcast.net,Non-TEFAP,38.64643,-77.32125,1970-01-01,N/A,N/A,255,Monday,4:00 PM to 5:30 PM; Every week,No,No,None, ,16:00:00,,,17:30:00,,,Every week,,16:00:00,17:30:00
